episode_number,avg_q,winner
1,0.46134518522428297,-1
2,0.4221306059847062,2
3,0.41432853824783566,-1
4,0.3932942359091175,2
5,0.3928301038685632,2
6,0.39257592858042967,2
7,0.37387297887385595,1
8,0.3750423171146448,-1
9,0.3709548818736298,1
10,0.36642187313598634,2
11,0.36684751910587726,2
12,0.3550338975432277,-1
13,0.3508771324459005,-1
14,0.350032864328454,2
15,0.35520088362118973,1
16,0.35041352801827,-1
17,0.3422575354119341,2
18,0.33424283126383036,2
19,0.33830258156173826,1
20,0.3341203159942384,-1
21,0.3316466218501789,2
22,0.3273812159965378,1
23,0.3338714201817883,2
24,0.32694964675425386,2
25,0.3273925000666767,2
26,0.3193220712586971,1
27,0.31673208944605885,2
28,0.31119527789046125,2
29,0.308040127526336,1
30,0.31062811410172547,1
31,0.3104887787142348,1
32,0.3097776327959206,-1
33,0.306639209257376,-1
34,0.3067123336260556,1
35,0.306852437820972,1
36,0.30515633319349494,2
37,0.30247639906705953,2
38,0.30038886483450894,-1
39,0.2998484501232298,2
40,0.3016533311907356,1
41,0.29900051090796254,-1
42,0.29590904382517996,2
43,0.29380326776415033,-1
44,0.29813960573064124,-1
45,0.2968163799019624,2
46,0.29651597512809535,2
47,0.29617818580341126,2
48,0.29154706723971013,2
49,0.2902292739752198,-1
50,0.2887374054791452,2
51,0.2854214043243578,-1
52,0.28955925520543724,2
53,0.2878077939473425,-1
54,0.2962161761948345,2
55,0.2923124392071301,-1
56,0.2866786249910992,2
57,0.2851089840493004,2
58,0.2848943934960597,1
59,0.28696218524994166,1
60,0.28268570502448104,-1
61,0.2814872509442131,1
62,0.2764432589619463,-1
63,0.27731510484389604,2
64,0.27653640380050654,1
65,0.2754243568730663,1
66,0.2740702281531088,2
67,0.2719361036329009,2
68,0.271548203311978,-1
69,0.2704558204181525,2
70,0.2725893551433591,1
71,0.27362627695882136,-1
72,0.2739110430260409,2
73,0.2724666387056603,2
74,0.27097133034626825,-1
75,0.2674047140716796,-1
76,0.2693426449121257,-1
77,0.27021477067682537,2
78,0.2703640787817963,-1
79,0.27107618426110924,1
80,0.2706557251344775,1
81,0.2703683723875262,1
82,0.2701401837451766,2
83,0.26930091514232213,1
84,0.2663449075422129,2
85,0.2640514198485994,2
86,0.2638382167992777,1
87,0.2636519224916649,1
88,0.26854904895467185,-1
89,0.2676283254689406,2
